Time,Ax,Ay,Az
58.11,-0.97,0.03,-0.15
58.21,-0.98,0.03,-0.15
58.32,-0.97,0.04,-0.15
58.42,-0.98,0.03,-0.15
58.52,-0.97,0.03,-0.15
58.63,-0.98,0.03,-0.15
58.73,-0.98,0.03,-0.15
58.83,-0.98,0.04,-0.15
58.94,-0.97,0.04,-0.15
59.04,-0.98,0.03,-0.15
59.14,-0.98,0.03,-0.15
59.25,-0.98,0.03,-0.15
59.35,-0.97,0.03,-0.15
59.45,-0.97,0.03,-0.15
59.56,-0.98,0.03,-0.15
59.66,-0.97,0.03,-0.15
59.76,-0.97,0.04,-0.14
59.87,-0.98,0.03,-0.15
59.97,-0.97,0.03,-0.15
60.07,-0.97,0.03,-0.15
60.18,-0.98,0.03,-0.15
60.28,-0.97,0.03,-0.15
60.38,-0.98,0.03,-0.15
60.49,-0.97,0.03,-0.14
60.59,-0.97,0.03,-0.15
60.69,-0.97,0.03,-0.15
60.80,-0.97,0.03,-0.15
60.90,-0.98,0.03,-0.15
61.00,-0.98,0.03,-0.15
61.11,-0.98,0.03,-0.15
61.21,-0.97,0.03,-0.15
61.31,-0.97,0.03,-0.15
61.42,-0.98,0.03,-0.15
61.52,-0.98,0.03,-0.15
61.62,-0.98,0.03,-0.15
61.73,-0.98,0.03,-0.15
61.83,-0.97,0.03,-0.15
61.93,-0.97,0.04,-0.15
62.04,-0.97,0.03,-0.15
62.14,-0.97,0.03,-0.15
62.24,-0.98,0.03,-0.15
62.35,-0.98,0.03,-0.15
62.45,-0.98,0.03,-0.15
62.55,-0.98,0.03,-0.15
62.66,-0.98,0.03,-0.15
62.76,-0.97,0.03,-0.15
62.86,-0.97,0.03,-0.15
62.97,-0.97,0.04,-0.15
63.07,-0.98,0.03,-0.15
63.17,-0.97,0.03,-0.15
63.28,-0.98,0.03,-0.15
63.38,-0.97,0.03,-0.15
63.48,-0.97,0.04,-0.15
63.59,-0.97,0.03,-0.14
63.69,-0.97,0.03,-0.15
63.79,-0.98,0.03,-0.15
63.90,-0.97,0.03,-0.15
64.00,-0.98,0.04,-0.15
